kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
10586619,K07345.01,,CANDIDATE,CANDIDATE,0.902,0,0,0,0,377.501257,0.00877,-0.00877,278.8375,0.0164,-0.0164,0.033,0.426,-0.033,11.98,0.595,-0.595,541.4,46.0,-46.0,2.16,0.32,-0.1,242.0,,,0.81,0.31,-0.11,13.9,1.0,q1_q17_dr25_tce,5751.0,78.0,-78.0,4.508,0.021,-0.119,0.94,0.138,-0.043,19h02m33.82s,+47d48m39.8s,15.044,
9674320,K07223.01,,CANDIDATE,CANDIDATE,0.947,0,0,0,0,317.062416,0.002425,-0.002425,297.8371,0.0109,-0.0109,0.673,0.269,-0.445,7.438,0.65,-0.65,442.9,43.8,-43.8,1.59,0.27,-0.12,218.0,,,0.54,0.29,-0.13,9.8,1.0,q1_q17_dr25_tce,5366.0,160.0,-144.0,4.625,0.032,-0.104,0.715,0.122,-0.052,20h01m22.86s,+46d20m23.6s,14.634,
8845552,K07099.01,,CANDIDATE,CANDIDATE,,0,0,0,0,34.0357766,0.0004609,-0.0004609,138.9291,0.0117,-0.0117,0.6983,0.0633,-0.4897,3.849,0.364,-0.364,386.6,50.0,-50.0,1.05,0.07,-0.1,337.0,,,3.06,0.9,-0.86,9.6,1.0,q1_q17_dr24_tce,4367.0,136.0,-146.0,4.739,0.06,-0.06,0.501,0.035,-0.046,20h01m13.28s,+45d05m36.3s,15.534,
8120820,K06971.01,,CANDIDATE,CANDIDATE,0.358,0,0,0,0,129.222771,0.002682,-0.002682,255.1859,0.0118,-0.0118,0.867,0.087,-0.66,7.272,0.415,-0.415,445.3,42.2,-42.2,2.01,0.08,-0.13,288.0,,,1.63,0.25,-0.3,12.0,1.0,q1_q17_dr25_tce,4934.0,81.0,-81.0,4.515,0.067,-0.022,0.809,0.031,-0.054,19h54m48.00s,+43d58m35.4s,14.784,
9821428,K07235.01,,CANDIDATE,CANDIDATE,,0,0,0,0,299.70688,0.03513,-0.03513,360.3939,0.0494,-0.0494,0.1196,0.3187,-0.1196,15.39,2.7,-2.7,230.7,34.3,-34.3,1.15,0.38,-0.08,237.0,,,0.75,0.75,-0.16,8.6,1.0,q1_q17_dr24_tce,5606.0,166.0,-141.0,4.597,0.029,-0.029,0.76,0.254,-0.053,19h08m06.28s,+46d41m10.6s,14.713,
3548622,K06343.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,569.45051,0.0328,-0.0328,143.4648,0.049,-0.049,0.001,0.453,-0.001,9.63,2.3,-2.3,425.4,60.7,-60.7,1.96,0.59,-0.2,225.0,,,0.61,0.56,-0.18,8.2,1.0,q1_q17_dr25_tce,6117.0,182.0,-200.0,4.496,0.05,-0.213,0.947,0.288,-0.096,19h29m54.12s,+38d41m28.7s,14.542,
8308516,K07880.01,,CANDIDATE,CANDIDATE,0.113,0,0,0,0,623.70774,0.01157,-0.01157,303.3588,0.0125,-0.0125,0.003,0.456,-0.003,6.688,0.488,-0.488,250.9,27.7,-27.7,1.81,0.48,-0.26,258.0,,,1.05,0.8,-0.37,10.2,2.0,q1_q17_dr25_tce,6626.0,158.0,-217.0,4.347,0.112,-0.182,1.132,0.298,-0.161,19h39m48.62s,+44d12m28.5s,13.379,
6590726,K06734.01,,CANDIDATE,CANDIDATE,,0,0,0,0,498.27269,0.03229,-0.03229,146.1528,0.0497,-0.0497,0.0481,0.425,-0.0479,8.92,1.6,-1.6,534.0,104.0,-104.0,2.12,0.84,-0.17,214.0,,,0.5,0.6,-0.13,6.6,2.0,q1_q17_dr24_tce,5618.0,180.0,-183.0,4.514,0.034,-0.034,0.932,0.369,-0.073,19h06m26.25s,+42d03m47.6s,15.477,
11810124,K03344.03,,CANDIDATE,CANDIDATE,0.814,0,0,0,0,208.54335,0.0166,-0.0166,230.9934,0.0374,-0.0374,0.001,0.446,-0.001,9.851,0.611,-0.611,614.6,60.5,-60.5,2.84,0.42,-0.52,321.0,,,2.52,1.01,-0.92,10.4,3.0,q1_q17_dr25_tce,5533.0,83.0,-74.0,4.275,0.168,-0.112,1.166,0.174,-0.212,19h18m39.57s,+50d01m12.1s,15.254,
9150870,K07136.01,,CANDIDATE,CANDIDATE,,0,0,0,0,441.17369,0.04754,-0.04754,374.0092,0.0473,-0.0473,0.3151,0.1376,-0.315,14.82,2.9,-2.9,702.0,110.0,-110.0,2.27,0.86,-0.17,217.0,,,0.52,0.6,-0.12,11.5,1.0,q1_q17_dr24_tce,5610.0,171.0,-162.0,4.551,0.027,-0.027,0.858,0.326,-0.064,19h21m13.92s,+45d35m54.3s,15.632,
9730163,K02704.03,Kepler-445 d,CONFIRMED,CANDIDATE,,0,0,0,0,8.15275885,6.589e-05,-6.589e-05,134.19046,0.00792,-0.00792,0.461,0.0838,-0.4086,1.746,0.24,-0.24,16536.0,2312.0,-2312.0,2.44,1.62,-0.7,305.0,,,2.03,4.47,-1.06,9.2,3.0,q1_q17_dr24_tce,3327.0,125.0,-58.0,5.113,0.14,-0.14,0.189,0.125,-0.054,19h54m56.67s,+46d29m55.1s,17.475,
6614748,K06745.01,,CANDIDATE,CANDIDATE,,0,0,0,0,383.85362,0.01802,-0.01802,426.5941,0.0346,-0.0346,0.5927,0.0136,-0.5111,9.76,1.6,-1.6,422.9,65.8,-65.8,2.78,1.22,-0.46,314.0,,,2.29,2.91,-0.94,7.5,1.0,q1_q17_dr24_tce,6675.0,150.0,-279.0,4.341,0.076,-0.076,1.293,0.572,-0.211,19h37m08.86s,+42d01m58.0s,15.232,
8311864,K07016.01,Kepler-452 b,CONFIRMED,CANDIDATE,0.771,0,0,0,0,384.847556,0.007105,-0.007105,314.97,0.0152,-0.0152,0.059,0.387,-0.059,9.969,0.441,-0.441,189.9,17.6,-17.6,1.09,0.2,-0.1,220.0,,,0.56,0.32,-0.15,12.3,1.0,q1_q17_dr25_tce,5579.0,150.0,-150.0,4.58,0.034,-0.127,0.798,0.15,-0.075,19h44m00.89s,+44d16m39.2s,13.426,
11559304,K07617.01,,CANDIDATE,CANDIDATE,,0,0,0,0,12.9284553,0.0001378,-0.0001378,137.18564,0.0095,-0.0095,0.2446,0.2216,-0.2445,2.49,0.266,-0.266,297.9,37.8,-37.8,0.64,0.11,-0.12,343.0,,,3.26,1.45,-1.28,8.2,1.0,q1_q17_dr24_tce,3578.0,63.0,-76.0,4.893,0.09,-0.09,0.375,0.06,-0.07,19h27m54.32s,+49d34m32.8s,15.72,
4862924,K07554.01,,CANDIDATE,CANDIDATE,,0,0,0,0,482.62011,0.03127,-0.03127,314.0653,0.0387,-0.0387,0.1786,0.2704,-0.1786,12.86,1.3,-1.3,324.0,46.1,-46.1,1.98,1.02,-0.21,263.0,,,1.12,1.72,-0.34,8.1,1.0,q1_q17_dr24_tce,6315.0,167.0,-217.0,4.389,0.071,-0.071,1.095,0.558,-0.117,19h53m06.42s,+39d54m13.9s,14.519,
8096395,K07587.01,,CANDIDATE,CANDIDATE,0.897,0,0,0,0,366.088938,0.004884,-0.004884,165.426,0.0107,-0.0107,0.89,0.04,-0.619,11.887,0.231,-0.231,537.9,20.6,-20.6,2.57,0.78,-0.31,257.0,,,1.03,0.94,-0.34,29.0,1.0,q1_q17_dr25_tce,5941.0,187.0,-208.0,4.464,0.07,-0.196,0.945,0.286,-0.114,19h25m26.14s,+43d56m12.5s,11.616,
8297319,K07591.01,,CANDIDATE,CANDIDATE,,0,0,0,0,328.32211,0.01347,-0.01347,144.0773,0.0361,-0.0361,0.1169,0.353,-0.1168,13.53,1.3,-1.3,399.0,51.4,-51.4,1.3,0.18,-0.1,193.0,,,0.33,0.17,-0.08,8.2,1.0,q1_q17_dr24_tce,4906.0,182.0,-164.0,4.648,0.032,-0.032,0.668,0.095,-0.052,19h23m37.67s,+44d17m30.4s,14.937,
8880317,K07915.01,,CANDIDATE,CANDIDATE,0.324,0,0,0,0,382.5891,0.1096,-0.1096,372.8314,0.0888,-0.0888,0.042,0.416,-0.042,11.7,10.4,-10.4,298.2,36.7,-36.7,2.15,0.65,-0.43,305.0,,,2.05,1.81,-0.91,10.5,1.0,q1_q17_dr25_tce,6337.0,176.0,-220.0,4.261,0.175,-0.175,1.239,0.371,-0.247,19h19m41.27s,+45d06m14.1s,13.678,
10253977,K08201.01,,CANDIDATE,CANDIDATE,0.216,0,0,0,0,392.601892,0.008911,-0.008911,496.9922,0.0143,-0.0143,0.713,0.244,-0.494,3.21,0.482,-0.482,779.0,124.0,-124.0,2.25,0.34,-0.2,204.0,,,0.41,0.2,-0.1,7.8,1.0,q1_q17_dr25_tce,5307.0,159.0,-143.0,4.605,0.032,-0.097,0.753,0.112,-0.069,18h47m28.84s,+47d23m42.0s,14.382,
10214341,K07992.01,,CANDIDATE,CANDIDATE,0.126,0,0,0,0,277.13367,0.01585,-0.01585,400.4719,0.044,-0.044,0.662,0.307,-0.452,9.67,1.6,-1.6,321.2,53.2,-53.2,1.84,0.56,-0.18,307.0,,,2.09,1.81,-0.61,8.7,1.0,q1_q17_dr25_tce,6461.0,155.0,-213.0,4.474,0.052,-0.208,0.971,0.294,-0.098,19h37m31.81s,+47d12m20.8s,14.635,
10331279,K08000.01,,CANDIDATE,CANDIDATE,0.975,0,0,0,0,225.48805,0.01866,-0.01866,224.2023,0.0772,-0.0772,0.817,0.024,-0.568,19.46,2.3,-2.3,379.9,42.1,-42.1,1.7,0.43,-0.14,267.0,,,1.2,0.9,-0.3,11.6,1.0,q1_q17_dr25_tce,5663.0,169.0,-152.0,4.579,0.04,-0.16,0.782,0.194,-0.065,19h13m05.90s,+47d29m44.8s,15.306,
5802205,K08107.01,,CANDIDATE,CANDIDATE,0.381,0,0,0,0,578.88761,0.02197,-0.02197,219.2878,0.023,-0.023,0.24,0.212,-0.24,18.521,0.959,-0.959,76.8,5.8,-5.8,1.69,0.45,-0.67,315.0,,,2.32,1.88,-1.6,15.1,1.0,q1_q17_dr25_tce,6180.0,195.0,-238.0,3.946,0.405,-0.135,1.917,0.507,-0.76,19h40m21.00s,+41d02m14.6s,11.402,
5955197,K08111.01,,CANDIDATE,CANDIDATE,0.223,0,0,0,0,359.33831,0.01173,-0.01173,152.5082,0.0309,-0.0309,0.176,0.279,-0.176,18.566,0.908,-0.908,977.9,71.7,-71.7,2.33,0.31,-0.29,216.0,,,0.52,0.26,-0.17,15.8,1.0,q1_q17_dr25_tce,5316.0,204.0,-186.0,4.539,0.085,-0.076,0.753,0.102,-0.092,19h20m34.33s,+41d16m39.2s,15.825,
11338091,K08221.01,,CANDIDATE,CANDIDATE,0.092,0,0,0,0,293.38641,0.01811,-0.01811,308.6624,0.0349,-0.0349,0.537,0.415,-0.324,15.23,3.3,-3.3,94.9,6.9,-6.9,1.35,0.39,-0.31,347.0,,,3.43,2.91,-1.69,13.4,1.0,q1_q17_dr25_tce,6392.0,181.0,-227.0,4.213,0.185,-0.185,1.34,0.382,-0.313,18h59m09.77s,+49d07m31.3s,11.097,
10452252,K08012.01,,CANDIDATE,CANDIDATE,0.989,0,0,0,0,34.573718512,,,136.2275493,,,0.22,,,2.1742,,,399.0,,,0.42,0.17,-0.12,199.0,,,0.37,0.47,-0.19,5.7,7.0,q1_q17_dr25_tce,3374.0,112.0,-82.0,5.066,0.103,-0.126,0.218,0.09,-0.06,18h52m36.14s,+47d40m19.1s,15.708,
12554485,K08238.01,,CANDIDATE,CANDIDATE,0.444,0,0,0,0,495.662346,0.006736,-0.006736,561.4127,0.00823,-0.00823,0.949,0.018,-0.679,4.428,0.35,-0.35,675.7,77.6,-77.6,2.73,0.56,-0.33,207.0,,,0.43,0.29,-0.14,10.2,1.0,q1_q17_dr25_tce,5515.0,193.0,-193.0,4.509,0.077,-0.132,0.82,0.17,-0.099,19h16m21.80s,+51d31m55.2s,14.322,
3629119,K08242.01,,CANDIDATE,CANDIDATE,0.175,0,0,0,0,331.55459,0.01384,-0.01384,237.2754,0.0361,-0.0361,0.001,0.453,-0.001,5.35,1.3,-1.3,288.7,48.2,-48.2,1.36,0.32,-0.11,240.0,,,0.78,0.56,-0.19,6.7,1.0,q1_q17_dr25_tce,5762.0,155.0,-155.0,4.576,0.04,-0.16,0.801,0.193,-0.064,19h04m10.55s,+38d42m31.7s,14.066,
4446859,K08246.01,,CANDIDATE,CANDIDATE,0.228,0,0,0,0,425.64971,0.02019,-0.02019,284.3479,0.0357,-0.0357,0.303,0.15,-0.303,11.07,1.3,-1.3,171.2,27.8,-27.8,1.58,0.45,-0.37,281.0,,,1.48,1.27,-0.71,7.6,1.0,q1_q17_dr25_tce,6067.0,182.0,-182.0,4.253,0.22,-0.18,1.195,0.342,-0.279,19h02m25.97s,+39d34m45.5s,13.855,
9084569,K07923.01,,CANDIDATE,CANDIDATE,0.75,0,0,0,0,395.13138,0.02017,-0.02017,162.7395,0.0331,-0.0331,0.45,0.045,-0.429,21.291,0.916,-0.916,126.4,9.8,-9.8,0.97,0.12,-0.1,208.0,,,0.44,0.2,-0.13,14.4,2.0,q1_q17_dr25_tce,5060.0,192.0,-174.0,4.493,0.08,-0.088,0.869,0.1,-0.091,19h20m47.98s,+45d25m12.0s,12.642,
10844823,K08033.01,,CANDIDATE,CANDIDATE,0.323,0,0,0,0,362.13187,0.01297,-0.01297,369.541,0.0235,-0.0235,0.397,0.069,-0.397,5.59,1.2,-1.2,849.0,134.0,-134.0,2.23,0.28,-0.21,208.0,,,0.45,0.19,-0.12,8.2,1.0,q1_q17_dr25_tce,5176.0,153.0,-153.0,4.567,0.048,-0.072,0.766,0.097,-0.071,18h53m11.29s,+48d15m59.9s,15.313,
