kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_joined
9958962,000000000000000000000000000000004a04cd7ed52284aed36bde68de710d58,,CANDIDATE,CANDIDATE,0.744,240.192808,0.008989,-0.008989,168.3047,0.0307,-0.0307,0.814,0.141,-0.575,9.72,0.627,-0.627,605.8,54.0,-54.0,2.68,0.83,-0.28,298.0,1.86,1.74,-0.55,12.0,4.0,q1_q17_dr25_tce,6004.0,181.0,-199.0,4.484,0.052,-0.208,0.977,0.302,-0.101,19h39m57.39s,+46d50m18.0s,14.957,"CANDIDATE,CANDIDATE"
8364232,0000000000000000000000000000000012eb864050b0a7d9e9e5c9be876f27e7,,CANDIDATE,CANDIDATE,0.529,65.415183,0.001268,-0.001268,140.2325,0.0164,-0.0164,0.377,0.082,-0.377,4.224,0.561,-0.561,417.1,56.7,-56.7,1.31,0.08,-0.12,295.0,1.79,0.49,-0.47,8.9,1.0,q1_q17_dr25_tce,4348.0,130.0,-130.0,4.62,0.049,-0.021,0.646,0.041,-0.056,19h25m15.07s,+44d22m54.9s,15.559,"CANDIDATE,CANDIDATE"
8555967,00000000000000000000000000000000bc436db1f3d15045c776430841a5350b,,CANDIDATE,CANDIDATE,0.837,347.97611,0.01268,-0.01268,169.433,0.0305,-0.0305,0.057,0.383,-0.057,16.77,1.1,-1.1,341.3,34.9,-34.9,1.62,0.49,-0.15,253.0,0.97,0.87,-0.27,11.9,1.0,q1_q17_dr25_tce,5995.0,163.0,-181.0,4.536,0.038,-0.2,0.878,0.266,-0.083,19h21m12.74s,+44d40m41.1s,14.648,"CANDIDATE,CANDIDATE"
8489260,000000000000000000000000000000003f9cfc88a51f95a66fb4899cf7390fe9,,CANDIDATE,CANDIDATE,0.386,130.235324,0.00303,-0.00303,218.2719,0.0201,-0.0201,0.075,0.387,-0.075,5.678,0.534,-0.534,750.1,91.4,-91.4,2.44,0.68,-0.23,332.0,2.86,2.38,-0.8,9.7,1.0,q1_q17_dr25_tce,5616.0,166.0,-183.0,4.529,0.036,-0.192,0.903,0.251,-0.084,19h18m17.88s,+44d31m11.8s,15.991,"CANDIDATE,CANDIDATE"
10586619,000000000000000000000000000000008153886a1ad6c6a708088ca398350cfb,,CANDIDATE,CANDIDATE,0.902,377.501257,0.00877,-0.00877,278.8375,0.0164,-0.0164,0.033,0.426,-0.033,11.98,0.595,-0.595,541.4,46.0,-46.0,2.16,0.32,-0.1,242.0,0.81,0.31,-0.11,13.9,1.0,q1_q17_dr25_tce,5751.0,78.0,-78.0,4.508,0.021,-0.119,0.94,0.138,-0.043,19h02m33.82s,+47d48m39.8s,15.044,"CANDIDATE,CANDIDATE"
9674320,00000000000000000000000000000000c2558a007fa94ecea94169332dd0a1f1,,CANDIDATE,CANDIDATE,0.947,317.062416,0.002425,-0.002425,297.8371,0.0109,-0.0109,0.673,0.269,-0.445,7.438,0.65,-0.65,442.9,43.8,-43.8,1.59,0.27,-0.12,218.0,0.54,0.29,-0.13,9.8,1.0,q1_q17_dr25_tce,5366.0,160.0,-144.0,4.625,0.032,-0.104,0.715,0.122,-0.052,20h01m22.86s,+46d20m23.6s,14.634,"CANDIDATE,CANDIDATE"
8120820,000000000000000000000000000000000d0cc6c4ffe1797f597a6cb0d52e05d3,,CANDIDATE,CANDIDATE,0.358,129.222771,0.002682,-0.002682,255.1859,0.0118,-0.0118,0.867,0.087,-0.66,7.272,0.415,-0.415,445.3,42.2,-42.2,2.01,0.08,-0.13,288.0,1.63,0.25,-0.3,12.0,1.0,q1_q17_dr25_tce,4934.0,81.0,-81.0,4.515,0.067,-0.022,0.809,0.031,-0.054,19h54m48.00s,+43d58m35.4s,14.784,"CANDIDATE,CANDIDATE"
3548622,00000000000000000000000000000000aa8224b0bfa050d7ea348d03d655e4ad,,CANDIDATE,CANDIDATE,0.0,569.45051,0.0328,-0.0328,143.4648,0.049,-0.049,0.001,0.453,-0.001,9.63,2.3,-2.3,425.4,60.7,-60.7,1.96,0.59,-0.2,225.0,0.61,0.56,-0.18,8.2,1.0,q1_q17_dr25_tce,6117.0,182.0,-200.0,4.496,0.05,-0.213,0.947,0.288,-0.096,19h29m54.12s,+38d41m28.7s,14.542,"CANDIDATE,CANDIDATE"
8308516,00000000000000000000000000000000b147fa3de295d4b4b3e5eb24d08a1690,,CANDIDATE,CANDIDATE,0.113,623.70774,0.01157,-0.01157,303.3588,0.0125,-0.0125,0.003,0.456,-0.003,6.688,0.488,-0.488,250.9,27.7,-27.7,1.81,0.48,-0.26,258.0,1.05,0.8,-0.37,10.2,2.0,q1_q17_dr25_tce,6626.0,158.0,-217.0,4.347,0.112,-0.182,1.132,0.298,-0.161,19h39m48.62s,+44d12m28.5s,13.379,"CANDIDATE,CANDIDATE"
11810124,00000000000000000000000000000000e128fb13c70236b60484fb52d96ffcaf,,CANDIDATE,CANDIDATE,0.814,208.54335,0.0166,-0.0166,230.9934,0.0374,-0.0374,0.001,0.446,-0.001,9.851,0.611,-0.611,614.6,60.5,-60.5,2.84,0.42,-0.52,321.0,2.52,1.01,-0.92,10.4,3.0,q1_q17_dr25_tce,5533.0,83.0,-74.0,4.275,0.168,-0.112,1.166,0.174,-0.212,19h18m39.57s,+50d01m12.1s,15.254,"CANDIDATE,CANDIDATE"
8096395,000000000000000000000000000000001c02f1203d2d79e8680b958460874565,,CANDIDATE,CANDIDATE,0.897,366.088938,0.004884,-0.004884,165.426,0.0107,-0.0107,0.89,0.04,-0.619,11.887,0.231,-0.231,537.9,20.6,-20.6,2.57,0.78,-0.31,257.0,1.03,0.94,-0.34,29.0,1.0,q1_q17_dr25_tce,5941.0,187.0,-208.0,4.464,0.07,-0.196,0.945,0.286,-0.114,19h25m26.14s,+43d56m12.5s,11.616,"CANDIDATE,CANDIDATE"
8880317,00000000000000000000000000000000f9711cc570e58b1a9ad715e6f67a6899,,CANDIDATE,CANDIDATE,0.324,382.5891,0.1096,-0.1096,372.8314,0.0888,-0.0888,0.042,0.416,-0.042,11.7,10.4,-10.4,298.2,36.7,-36.7,2.15,0.65,-0.43,305.0,2.05,1.81,-0.91,10.5,1.0,q1_q17_dr25_tce,6337.0,176.0,-220.0,4.261,0.175,-0.175,1.239,0.371,-0.247,19h19m41.27s,+45d06m14.1s,13.678,"CANDIDATE,CANDIDATE"
10253977,00000000000000000000000000000000713f72c363164d492c5074470a36c262,,CANDIDATE,CANDIDATE,0.216,392.601892,0.008911,-0.008911,496.9922,0.0143,-0.0143,0.713,0.244,-0.494,3.21,0.482,-0.482,779.0,124.0,-124.0,2.25,0.34,-0.2,204.0,0.41,0.2,-0.1,7.8,1.0,q1_q17_dr25_tce,5307.0,159.0,-143.0,4.605,0.032,-0.097,0.753,0.112,-0.069,18h47m28.84s,+47d23m42.0s,14.382,"CANDIDATE,CANDIDATE"
10214341,000000000000000000000000000000001c1e3a302266fde4fe13cabb89dc1856,,CANDIDATE,CANDIDATE,0.126,277.13367,0.01585,-0.01585,400.4719,0.044,-0.044,0.662,0.307,-0.452,9.67,1.6,-1.6,321.2,53.2,-53.2,1.84,0.56,-0.18,307.0,2.09,1.81,-0.61,8.7,1.0,q1_q17_dr25_tce,6461.0,155.0,-213.0,4.474,0.052,-0.208,0.971,0.294,-0.098,19h37m31.81s,+47d12m20.8s,14.635,"CANDIDATE,CANDIDATE"
10331279,000000000000000000000000000000008f9e13ae943f503c715ed243590764db,,CANDIDATE,CANDIDATE,0.975,225.48805,0.01866,-0.01866,224.2023,0.0772,-0.0772,0.817,0.024,-0.568,19.46,2.3,-2.3,379.9,42.1,-42.1,1.7,0.43,-0.14,267.0,1.2,0.9,-0.3,11.6,1.0,q1_q17_dr25_tce,5663.0,169.0,-152.0,4.579,0.04,-0.16,0.782,0.194,-0.065,19h13m05.90s,+47d29m44.8s,15.306,"CANDIDATE,CANDIDATE"
5802205,0000000000000000000000000000000047fb1334cec52d04c0b12e76fd7d3956,,CANDIDATE,CANDIDATE,0.381,578.88761,0.02197,-0.02197,219.2878,0.023,-0.023,0.24,0.212,-0.24,18.521,0.959,-0.959,76.8,5.8,-5.8,1.69,0.45,-0.67,315.0,2.32,1.88,-1.6,15.1,1.0,q1_q17_dr25_tce,6180.0,195.0,-238.0,3.946,0.405,-0.135,1.917,0.507,-0.76,19h40m21.00s,+41d02m14.6s,11.402,"CANDIDATE,CANDIDATE"
5955197,0000000000000000000000000000000032aecd870ba08e162d72cdea783ffb1d,,CANDIDATE,CANDIDATE,0.223,359.33831,0.01173,-0.01173,152.5082,0.0309,-0.0309,0.176,0.279,-0.176,18.566,0.908,-0.908,977.9,71.7,-71.7,2.33,0.31,-0.29,216.0,0.52,0.26,-0.17,15.8,1.0,q1_q17_dr25_tce,5316.0,204.0,-186.0,4.539,0.085,-0.076,0.753,0.102,-0.092,19h20m34.33s,+41d16m39.2s,15.825,"CANDIDATE,CANDIDATE"
11338091,0000000000000000000000000000000029219a514cc0bb14d420ee51b239a545,,CANDIDATE,CANDIDATE,0.092,293.38641,0.01811,-0.01811,308.6624,0.0349,-0.0349,0.537,0.415,-0.324,15.23,3.3,-3.3,94.9,6.9,-6.9,1.35,0.39,-0.31,347.0,3.43,2.91,-1.69,13.4,1.0,q1_q17_dr25_tce,6392.0,181.0,-227.0,4.213,0.185,-0.185,1.34,0.382,-0.313,18h59m09.77s,+49d07m31.3s,11.097,"CANDIDATE,CANDIDATE"
